ambyar,ambruk
resik,bersih
saiki,sekarang
menco,nanti
banyu,air
ngewongke,memanusiakan
omahku,rumahku
melu,ikut
mumet,pusing
sampeyan,anda
sempak,celana dalam
dewe,sendiri
judule,judulnya
satpame,satpamnya
perawate,perawatnya
kene,sini
mbatinku,batinku
ki,ini
wes,sudah
ketlingsut,hilang
pokoke,pokoknya
tenann,banget
pelayanane,pelayanannya
sak karepe,terserah dia
luama,lama
koyo,seperti
ra,tidak
mgono,begitu
kui,itu
nggatheli,kesal
sedulur,saudara
wae,saja
asu,anjing
mindon,dua kali
gaweni,kerja
eman eman,mubadzir
ketok,pukul
ruamene,ramenya
nng,di
kono,sana
kae,itu
gedhe,besar
wong,orang
cilik,kecil
sak,terserah
karepe,dia
ttg,tentang
intine,intinya
ora,tidak
cetho,paham
ditrmani,ditemani
pol,banget
nggih,ya
kowe,kamu
tidak_ngerasakke,tida_merasakan
bpk,bapak
dingonokke,diginikan
