dokternya,dokter
by,melalui
nyobain,mencoba
direkomen,rekomendasi
macema,macam
live,langsung
music,musik
kayak,seperti
dikit,sedikit
lonsultasi,konsultasi
rumah sakit,rumah_sakit
rsnya,rumah_sakit
tempatny,tempatnya
good,baik
pricey,mahal
free,bebas
ambiancenya,suasana
ambiance,suasana
worth,bernilai
admisi,administrasi
dftr,daftar
via,melalui
high,tinggi
class,kelas
nice,baik
nginap,menginap
membutyhkan,membutuhkan
kekamar,kamar
keaadaan,keadaan
fast,cepat
dinihari,dini hari
tak,tidak
kids,anak-anak
great,besar
front,depan
office,kantor
gedhean,besar
watch out, hati-hati
cleanest,paling bersih
hosital,rumah_sakit
jogja,yogyakarta
best,terbaik
doc,dokter
rumkit,rumah_sakit
dipriksa,diperiksa
dikacangin,dicuekin
sgla,segala
trmks,terima_kasih
tlh_telah
pendaftatan,pendaftaran
cleaning,membersihkan
servicenya,pelayanan
fine,baik
ngopi,minum_kopi
urgen,mendesak
markotop,top
overall,keseluruhan
experience,pengalaman
teken,tanda_tangan
bggtttt,banget
recommended,direkomendasikan
slow,lambat
polly,poli
gol,golongan
dijogja,yogyakarta
hospitality,keramahan
oke,bagus
ok,bagus
dhokter,dokter
yogya,yogyakarta
emng,emang
rujukaaann,rujukan
public,umum
dissapointed,kekecewaan
nearest,terdekat
place,tempat
without,tanpa
instructional,instruksional
mutur nuwun,terima_kasih
jogjakarta,yogyakarta
joss,bagus
soale,soalnya
goood,baik
delicious,enak
enough,cukup
luxury,mewah
staffs,staf
even,bahkan
fresh,segar
waiting,tunggu
room,ruangan
ngasi,memberi
lenjeh,cerewet
however,bagaimanapun
bit,sedikit
highly recommended,sangat direkomendasikan
health,kesehatan
attitude,perilaku
soft skill,kemampuan
nge gas,kasar
poli,poliklinik
direkomendasikan,rekomendasi
makin,semakin
wifi,internet
diperbaiki,perbaikan
dulu,dahulu
ditingkatkan,peningkatan
terimakasih,terima_kasih
rs,rumah_sakit
rekomended,rekomendasi
tidak_pu,tidak_punya
pu,punya
letk,letak
pelaayaanan,pelayanan
dg,dengan
dr.,dokter
pelayana,pelayanan
mendapatkaan,mendapatkan
lai,lain
bth,butuh
jugaa,juga
atsannyapun,atasan
mngkn,mungkin
shg,sehingga
jaman,zaman
trakhir,terakhir
ngalamin,mengalami
mpe,sampai
ga,tidak
dapet,dapat
naek,naik
sragam,seragam
tp,tapi
trus,terus
kefarmasi,farmasi
pelayannan,pelayanan
copyr,copy
nyantai,santai
nangani,menangani
mlm,malam
krn,karena
hrs,harus
lg,lagi
peyanan,pelayanan
gak,tidak
pelayana,pelayanan
gnketurjempol,jempol
diselesaiakn,diselesaikan
amoga,semoga
bgt,banget
cm,cuma
respond,respon
baguss,bagus
skarang,sekarang
bln,bulan
kls,kelas
dn,dan
db,demam_berdarah
general,umum
checkup,pemeriksaan
dgn,dengan
pekayanannya,pelayanan
pelayanannya,pelayanan
jenguk,menjenguk
sodara,saudara
tdk,tidak
dg,dengan
hrus,harus
komputerise,komputer
parkirnya,parkir
famili,keluarga
service,pelayanan
tenderly,lembut
bnget,banget
tpi,tapi
br,baru
kemrin,kemarin
smpe,sampai
nunggu,menunggu
blm,belum
tlp,telpon
friendly,ramah
worst,terburuk
customer,pelanggan
service,pelayanan
tempay,tempat
semerawut,semrawut
on,tepat
time,waktu
rumas,rumah
skit,sakit
tida,tidak
motto,moto
cepaty,cepat
untk,untuk
helpful,membantu
perawata,perawat
aja,saja
serve,pelayanan
jos,baik
kalo,kalau
telp,telepon
orangtuaku,orang tua
healthcare,pelayanan kesehatan
problem,masalah
service,pelayanan
terbaikk,terbaik
gobernmental,pemerintah
sdh,sudah
msh,masih
lbh,lebih
slh,salah
rmh,rumah
skit,sakit
tersndri,tersendiri
terbesr,terbesar
setlh,setelah
jkrta,jakarta
menurutq,menurut
memuaskn,memuaskan
antri,antre
krna,karena
jdi,jadi
tmpat,tempat
berbgai,berbagai
daerh,daerah
bhkn,bahkan
tersendri,tersendiri
dimn,dimana
memperjuangkn,memperjuangkan
ank,anak
km,kami
mpe,sampai
kla,kalau
tingal,tinggal
wktu,waktu
tryata,ternyata
meningal,meninggal
dlm,dalam
sdkt,sedikit
klu,kalau
bda,beda
pelayana,pelayanan
cpt,cepat
skt,sakit
sakt,sait
trmakah,terima_kasih
slma,selama
inep,inap
hr,hari
kl,kalau
balek,balik
ibuk,ibu
sartijo,sardjito
sarjito,sardjito
ndaftar,mendaftar
uraiann,uraian
obatsetelah,obat setelah
nomer,nomor
kesemrawutan,semrawut
daerahfasilitas,daerah fasilitas
jamkhusus,jam khusus
jalanada,jalan ada
standart,standar
standard,standar
antrian,antrean
diy,yogyakarta
ga,tidak
keramahtamahan,ramah_tamah
propinsi,provinsi
pasie,pasien
sanggat,sangat
samppai,sampai
security,satpam
urgent,darurat
mnrt,menurut
krg,kurang
kndisi,kondisi
sprt,seperti
dtg,datang
jumlas,jumlah
illfeel,muak
ilfeel,muak
foodcourt,tempat_makan
adalaha,adalah
sakita,sakit
mlati,melati
provinsia,provinsi
kedokterana,kedokteran
madaa,mada
josh,baik
singkron,sinkron
jogjakrta,yogyakarta
opotik,apotek
mantep,mantap
orng,orang
lamaa,lama
record,rekaman
bru,baru
sm,sama
nggk,tidak
smua,semua
jga,juga
ksian,kasian
dripada,daripada
tmbah,tambah
box,kotak
pgwai,pegawai
lelet,lambat
smarty,pintar
pndaftaran,pendaftaran
musti,harus
rame,ramai
recommend,rekomendasi
rss,rumah_sakit
sgt,sangat
wc,toilet
sekitarnya,sekitar
kwantitas,kuantitas
kwalitas,kualitas
jogyakarta,yogyakarta
sangan,sangat
excelent,unggul
pro,mendukung
muterin,memutari
kasi,kasih
mngkin,mungkin
dita,tanya
mbentak,membentak
tau,tahu
ngerti,mengerti
dsini,disini
dktr,dokter
dijadiin,dijadikan
bkn,bukan
dbd,demam_berdarah
merwka,mereka
terlengkao,terlengkap
faskes,fasilitas_kesehatan
trims,terima_kasih
trbaik,terbaik
sarjidto,sardjito
smg,semoga
trs,terus
caring,peduli
human,manusia
akn,akan
jauhcap,jauh
buat,untuk
kdepa,selanjutnya
sakitrumah,sakit rumah
sehatpilih,sehat pilih
tingkatjan,tingkatkan
kurangy,kurang
mo,mau
overload,kelebihan_beban
ngantri,mengantre
dibandinhkan,dibandingkan
negri,negeri
nymn,nyaman
slalu,selalu
control,kontrol
stiap,setiap
bln,bulan
crowded,ramai
buanget,banget
anaak,anak
guede,besar
pooll,sekali
hospita,rumah_sakit
yk,yogyakarta
ngelewat,melewati
